generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
78,0,0,1.33383e-05,0,3.32463e-05,0,0.00669187,1.13475e-05,6.37055e-06,0,0.00256554,3.78252e-06,0.00200692,6.37055e-06,0.986878,0.00178356
79,0,0,1.38292e-05,0,3.43635e-05,0,0.00670005,1.15243e-05,6.28601e-06,0,0.00256218,3.56207e-06,0.00201341,6.49554e-06,0.986866,0.00178271
80,0,0,1.3567e-05,0,3.43165e-05,0,0.00668973,1.15719e-05,6.38447e-06,0,0.00257793,3.39175e-06,0.00198697,6.38447e-06,0.986894,0.00177588
81,0,0,1.2812e-05,0,3.38153e-05,0,0.00668536,1.11318e-05,5.88093e-06,0,0.00257564,3.36053e-06,0.00198565,6.51103e-06,0.986906,0.00177415
82,0,0,1.25379e-05,0,3.36335e-05,0,0.006666,1.11448e-05,6.56749e-06,0,0.0025854,3.78128e-06,0.00198716,6.56749e-06,0.986902,0.00178516
83,0,0,1.29872e-05,0,3.26776e-05,0,0.00667209,1.06831e-05,6.70309e-06,0,0.00258195,3.56102e-06,0.00197741,6.91257e-06,0.986913,0.00178177
84,0,0,1.25745e-05,0,3.43304e-05,0,0.00665809,1.13769e-05,6.18745e-06,0,0.00257917,3.39312e-06,0.0019702,6.78623e-06,0.986925,0.00179316
85,0,0,1.15539e-05,0,3.46618e-05,0,0.00666577,1.13438e-05,6.51221e-06,0,0.00258178,3.15107e-06,0.00196039,6.51221e-06,0.986922,0.00179632
86,0,0,1.21405e-05,0,3.3038e-05,0,0.00665178,1.09463e-05,6.96584e-06,0,0.00257079,3.58243e-06,0.00196536,6.96584e-06,0.986942,0.00179639
87,0,0,1.15211e-05,0,3.35158e-05,0,0.00665813,1.11021e-05,7.12212e-06,0,0.00256564,3.77053e-06,0.00197492,6.70317e-06,0.986925,0.00180231
88,0,0,1.13738e-05,0,3.33233e-05,0,0.00665368,1.13738e-05,6.58484e-06,0,0.0025611,3.59173e-06,0.00197924,6.78438e-06,0.986947,0.00178589
89,0,0,1.19721e-05,0,3.38158e-05,0,0.00665142,1.1342e-05,6.51112e-06,0,0.0025574,3.57061e-06,0.00197728,6.72116e-06,0.986959,0.00178132
90,0,0,1.23416e-05,0,3.32427e-05,0,0.00664317,1.13463e-05,6.56892e-06,0,0.00255909,3.38399e-06,0.00196968,6.36986e-06,0.986969,0.00178575
91,0,0,1.17337e-05,0,3.26868e-05,0,0.00663773,1.11051e-05,6.0764e-06,0,0.00256529,2.93343e-06,0.00196624,6.70499e-06,0.986976,0.00178395
92,0,0,1.19685e-05,0,3.29133e-05,0,0.00663671,1.11706e-05,5.58528e-06,0,0.00256444,2.99212e-06,0.00198357,6.18371e-06,0.986953,0.00179108
93,0,0,1.15504e-05,0,3.33912e-05,0,0.00663981,1.11304e-05,5.88021e-06,0,0.00255999,3.15011e-06,0.00198793,6.09022e-06,0.986951,0.00179031
94,0,0,1.23462e-05,0,3.12639e-05,0,0.00663551,1.05541e-05,5.77486e-06,0,0.0025728,3.18613e-06,0.00197401,6.57139e-06,0.986947,0.00180116
95,0,0,1.2159e-05,0,3.20745e-05,0,0.00663272,1.04819e-05,5.86985e-06,0,0.00257016,3.3542e-06,0.00197437,6.7084e-06,0.986952,0.00179995
96,0,0,1.33588e-05,0,3.32974e-05,0,0.00662818,1.03681e-05,5.5828e-06,0,0.00257028,2.99079e-06,0.00198249,6.38035e-06,0.986952,0.00179547
97,0,0,1.34347e-05,0,3.35868e-05,0,0.00662122,1.04959e-05,5.66778e-06,0,0.00257401,3.14876e-06,0.00197197,5.87769e-06,0.986963,0.00179731
98,0,0,1.31448e-05,0,3.44553e-05,0,0.00662497,1.11532e-05,5.57658e-06,0,0.00257239,3.38578e-06,0.0019753,5.77574e-06,0.986956,0.00179825
99,0,0,1.32064e-05,0,3.52172e-05,0,0.00661266,1.06909e-05,5.86953e-06,0,0.0025761,3.56364e-06,0.00197279,5.86953e-06,0.98696,0.00180362
100,0,0,1.33633e-05,0,3.37074e-05,0,0.00661542,1.11693e-05,6.38246e-06,0,0.00257652,3.59013e-06,0.00198116,6.18301e-06,0.986957,0.00179527
101,0,0,1.32269e-05,0,3.33822e-05,0,0.00661745,1.13374e-05,6.29853e-06,0,0.00257862,3.56917e-06,0.00198215,6.08858e-06,0.986941,0.00180642
102,0,0,1.37435e-05,0,3.48568e-05,0,0.00662617,1.17517e-05,7.17053e-06,0,0.00257163,3.1869e-06,0.0019701,6.37381e-06,0.986948,0.00180678
103,0,0,1.38393e-05,0,3.48078e-05,0,0.00663173,1.19521e-05,6.50026e-06,0,0.00257012,3.14529e-06,0.00196517,6.70994e-06,0.986951,0.00180477
104,0,0,1.41568e-05,0,3.5093e-05,0,0.00663716,1.23623e-05,6.97872e-06,0,0.00257136,3.38966e-06,0.00195584,6.77933e-06,0.986947,0.00180968
105,0,0,1.4694e-05,0,3.54756e-05,0,0.00663351,1.2385e-05,7.34701e-06,0,0.00257271,2.72889e-06,0.0019543,7.13709e-06,0.986949,0.00181051
106,0,0,1.47377e-05,0,3.58483e-05,0,0.00661601,1.17503e-05,6.97051e-06,0,0.00258128,1.99157e-06,0.00195891,6.97051e-06,0.986952,0.00181353
107,0,0,1.48836e-05,0,3.62657e-05,0,0.00659868,1.19488e-05,7.12736e-06,0,0.00257528,1.88665e-06,0.00195248,7.12736e-06,0.98698,0.00181433
108,0,0,1.59537e-05,0,3.64941e-05,0,0.0065855,1.2763e-05,6.38149e-06,0,0.0025843,1.79479e-06,0.00194715,6.38149e-06,0.986983,0.00182072
109,0,0,1.63737e-05,0,3.6526e-05,0,0.00658267,1.25952e-05,5.87775e-06,0,0.00258642,1.88928e-06,0.00195036,5.87775e-06,0.986985,0.00181602
110,0,0,1.59346e-05,0,3.58528e-05,0,0.00658258,1.21501e-05,5.57711e-06,0,0.00258479,1.59346e-06,0.00194063,6.17466e-06,0.986987,0.0018281
111,0,0,1.53085e-05,0,3.6279e-05,0,0.00658643,1.23726e-05,5.87175e-06,0,0.00258043,1.67764e-06,0.00193852,6.08146e-06,0.986993,0.00182423
112,0,0,1.45547e-05,0,3.62871e-05,0,0.00658451,1.23615e-05,5.38325e-06,0,0.00258835,1.79442e-06,0.00194495,5.58263e-06,0.986977,0.00182911
113,0,0,1.44841e-05,0,3.46359e-05,0,0.00658104,1.25949e-05,5.45778e-06,0,0.00258804,1.4694e-06,0.0019394,5.87761e-06,0.986991,0.00182605
114,0,0,1.39398e-05,0,3.40529e-05,0,0.00658495,1.11518e-05,5.37677e-06,0,0.00259101,1.39398e-06,0.00194082,6.17333e-06,0.986984,0.00182691
115,0,0,1.3418e-05,0,3.33353e-05,0,0.00659536,1.11118e-05,5.45106e-06,0,0.00258569,1.25794e-06,0.00193911,6.49934e-06,0.986977,0.00183197
116,0,0,1.29594e-05,0,3.26975e-05,0,0.00660908,1.1165e-05,6.18063e-06,0,0.00259327,1.595e-06,0.0019473,6.77875e-06,0.986953,0.00182548
117,0,0,1.25902e-05,0,3.33639e-05,0,0.00661739,1.07016e-05,5.66557e-06,0,0.00259022,1.67869e-06,0.00195273,6.50492e-06,0.986943,0.00182599
118,0,0,1.23538e-05,0,3.32757e-05,0,0.00661508,1.13576e-05,5.57916e-06,0,0.00260148,1.59404e-06,0.00195529,5.97767e-06,0.986945,0.00181303
119,0,0,1.27947e-05,0,3.27209e-05,0,0.00661026,1.13265e-05,5.66324e-06,0,0.00260803,1.46825e-06,0.00195298,5.87299e-06,0.986943,0.0018158
120,0,0,1.29576e-05,0,3.26929e-05,0,0.0066245,1.09641e-05,6.17976e-06,0,0.00261025,1.39543e-06,0.00194563,6.3791e-06,0.986934,0.00181545
121,0,0,1.25896e-05,0,3.21035e-05,0,0.00663095,9.86187e-06,6.29481e-06,0,0.00261004,1.46879e-06,0.00194321,6.71446e-06,0.986932,0.00181521
122,0,0,1.29514e-05,0,3.24781e-05,0,0.00662714,1.05604e-05,6.17683e-06,0,0.00260901,1.39477e-06,0.00194431,6.57533e-06,0.986931,0.00181878
123,0,0,1.3005e-05,0,3.35613e-05,0,0.0066118,1.06977e-05,5.87324e-06,0,0.00261737,1.46831e-06,0.00194488,6.50251e-06,0.986934,0.00182049
124,0,0,1.21597e-05,0,3.3489e-05,0,0.00659774,9.96698e-06,5.38217e-06,0,0.00261773,1.79406e-06,0.00195353,6.37887e-06,0.986947,0.00181499
