generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
3383,0,0,9.24164e-06,0,2.49944e-05,0,0.00681004,8.61153e-06,2.10037e-07,0,0.00258304,5.67101e-06,0.00193864,5.25093e-06,0.986767,0.00184749
3384,0,0,8.55861e-06,0,2.52777e-05,0,0.00681803,9.15572e-06,5.97112e-07,0,0.00256818,5.57305e-06,0.00193643,5.17497e-06,0.986778,0.00184488
3385,0,0,8.59021e-06,0,2.55611e-05,0,0.00680135,9.42828e-06,6.28552e-07,0,0.00257581,5.44745e-06,0.00194097,5.23793e-06,0.986787,0.00183998
3386,0,0,8.77784e-06,0,2.43386e-05,0,0.00679524,9.97482e-06,5.98489e-07,0,0.0025739,5.3864e-06,0.00193491,5.5859e-06,0.986793,0.00184853
3387,0,0,9.02963e-06,0,2.4569e-05,0,0.0067907,9.65961e-06,4.19983e-07,0,0.00257849,5.24979e-06,0.00193066,5.87976e-06,0.986806,0.00183974
3388,0,0,9.7575e-06,0,2.34977e-05,0,0.0067954,9.7575e-06,3.98265e-07,0,0.0025718,4.97832e-06,0.00193238,5.77485e-06,0.986821,0.00182545
3389,0,0,9.85189e-06,0,2.24288e-05,0,0.00680975,1.02711e-05,4.19229e-07,0,0.00257218,5.03075e-06,0.00193642,5.6596e-06,0.986802,0.00182616
3390,0,0,9.97242e-06,0,2.23382e-05,0,0.00680059,1.07702e-05,3.98897e-07,0,0.0025677,5.784e-06,0.00192747,6.1829e-06,0.986825,0.00182336
3391,0,0,9.44754e-06,0,2.16244e-05,0,0.00679173,1.07072e-05,4.19891e-07,0,0.002567,5.66852e-06,0.00193024,6.29836e-06,0.986834,0.00182296
3392,0,0,8.76366e-06,0,2.15108e-05,0,0.00679781,1.11537e-05,3.98348e-07,0,0.00257492,5.3777e-06,0.00193099,6.37357e-06,0.986822,0.00182025
3393,0,0,8.59547e-06,0,2.07549e-05,0,0.00680635,1.02726e-05,4.19291e-07,0,0.00256858,5.45079e-06,0.00192622,6.28937e-06,0.986821,0.00182601
3394,0,0,9.17396e-06,0,2.09405e-05,0,0.0068328,1.057e-05,3.98868e-07,0,0.00256631,4.98585e-06,0.00191536,5.78358e-06,0.986809,0.00182482
3395,0,0,9.44764e-06,0,1.9945e-05,0,0.00683862,1.09173e-05,4.19895e-07,0,0.00255527,5.03874e-06,0.00191556,5.45864e-06,0.986819,0.00181983
3396,0,0,1.03563e-05,0,1.81235e-05,0,0.00683735,9.3605e-06,3.98319e-07,0,0.00255104,4.97899e-06,0.00191731,5.17815e-06,0.986835,0.00181136
3397,0,0,1.04826e-05,0,1.82397e-05,0,0.00684157,9.22469e-06,4.19304e-07,0,0.00254517,5.03165e-06,0.00191286,5.03165e-06,0.986838,0.0018137
3398,0,0,9.7702e-06,0,1.89422e-05,0,0.00685449,9.37141e-06,5.98175e-07,0,0.00255102,4.98479e-06,0.00192014,5.18419e-06,0.986814,0.00181167
3399,0,0,9.86712e-06,0,1.82647e-05,0,0.0068587,9.86712e-06,6.29816e-07,0,0.00255432,4.61865e-06,0.00192493,4.82859e-06,0.986797,0.00181681
3400,0,0,1.11538e-05,0,1.85232e-05,0,0.00686714,8.96285e-06,7.96698e-07,0,0.00254884,3.58514e-06,0.00193996,4.38184e-06,0.986781,0.00181607
3401,0,0,1.15329e-05,0,1.8243e-05,0,0.00686273,8.59728e-06,8.38759e-07,0,0.00255297,3.56473e-06,0.00194466,4.61317e-06,0.98678,0.00181235
3402,0,0,1.15665e-05,0,1.77486e-05,0,0.00688267,8.97401e-06,7.9769e-07,0,0.00255081,2.79191e-06,0.00194257,5.18498e-06,0.986766,0.00181076
3403,0,0,1.1755e-05,0,1.80524e-05,0,0.00688466,8.39644e-06,8.39644e-07,0,0.0025563,2.72884e-06,0.00194273,4.82795e-06,0.986764,0.00180586
3404,0,0,1.19548e-05,0,1.85299e-05,0,0.00687996,8.36833e-06,9.96229e-07,0,0.00255911,2.98869e-06,0.00193567,4.58265e-06,0.986781,0.0017972
3405,0,0,1.17452e-05,0,1.84567e-05,0,0.00689252,8.17967e-06,1.04868e-06,0,0.00256296,2.93629e-06,0.00193061,4.82391e-06,0.986764,0.00180225
3406,0,0,1.21618e-05,0,1.85418e-05,0,0.00687723,7.97498e-06,1.19625e-06,0,0.00255439,2.59187e-06,0.00192556,4.58561e-06,0.986813,0.00178301
3407,0,0,1.17542e-05,0,1.84708e-05,0,0.00688921,7.97605e-06,1.25938e-06,0,0.00256241,2.72865e-06,0.00193062,4.40782e-06,0.986792,0.0017795
3408,0,0,1.09558e-05,0,1.79277e-05,0,0.00690873,7.17107e-06,9.95982e-07,0,0.00257601,2.78875e-06,0.00193639,4.78071e-06,0.986742,0.00179197
3409,0,0,1.13233e-05,0,1.84528e-05,0,0.00689672,7.33917e-06,1.04845e-06,0,0.0025771,2.3066e-06,0.0019388,5.03257e-06,0.986752,0.00178971
3410,0,0,1.27611e-05,0,1.79453e-05,0,0.00693126,7.77628e-06,1.19635e-06,0,0.00258312,2.3927e-06,0.00193749,6.18115e-06,0.986699,0.00180071
3411,0,0,1.28038e-05,0,1.82611e-05,0,0.00692685,6.50684e-06,1.25939e-06,0,0.00258448,2.51878e-06,0.00194051,6.50684e-06,0.986698,0.00180219
3412,0,0,1.37427e-05,0,1.81244e-05,0,0.00692153,7.17009e-06,1.39418e-06,0,0.00258462,2.39003e-06,0.00191541,6.17424e-06,0.986724,0.00180547
3413,0,0,1.36288e-05,0,1.78223e-05,0,0.00690709,7.54827e-06,1.04837e-06,0,0.00258298,2.09674e-06,0.00191558,6.29023e-06,0.986749,0.00179691
3414,0,0,1.33575e-05,0,1.91392e-05,0,0.0068893,7.97465e-06,1.59493e-06,0,0.00257501,2.39239e-06,0.00191332,6.37972e-06,0.986769,0.00180287
3415,0,0,1.30124e-05,0,1.8889e-05,0,0.00689679,7.76548e-06,1.67902e-06,0,0.00257688,2.30866e-06,0.00191513,6.29633e-06,0.986763,0.00179823
3416,0,0,1.29486e-05,0,2.01202e-05,0,0.00689783,7.76917e-06,1.79289e-06,0,0.00256084,2.1913e-06,0.00191719,6.57391e-06,0.986782,0.00179069
3417,0,0,1.34209e-05,0,2.05508e-05,0,0.00690275,7.75896e-06,1.88732e-06,0,0.00256444,2.30672e-06,0.00191164,6.71046e-06,0.986779,0.00178918
3418,0,0,1.3357e-05,0,2.05339e-05,0,0.00688583,7.17689e-06,1.99358e-06,0,0.00257311,2.3923e-06,0.00192281,7.37625e-06,0.986773,0.00179223
3419,0,0,1.25914e-05,0,2.07757e-05,0,0.00688873,7.34495e-06,2.09856e-06,0,0.00256591,2.09856e-06,0.00192081,6.92524e-06,0.986776,0.00179658
3420,0,0,1.25513e-05,0,2.13173e-05,0,0.00687294,8.16831e-06,1.79304e-06,0,0.00257979,1.79304e-06,0.00192314,6.77372e-06,0.986784,0.00178727
3421,0,0,1.23739e-05,0,2.03436e-05,0,0.00688451,7.96964e-06,1.46809e-06,0,0.00258111,1.88755e-06,0.00191942,6.921e-06,0.986778,0.00178604
3422,0,0,1.35565e-05,0,1.97367e-05,0,0.00687973,7.97441e-06,1.19616e-06,0,0.00258152,1.79424e-06,0.00192124,7.17697e-06,0.986773,0.00179305
3423,0,0,1.34325e-05,0,2.01488e-05,0,0.00687977,8.18545e-06,1.2593e-06,0,0.0025866,1.88895e-06,0.00192589,6.92615e-06,0.986755,0.00180122
3424,0,0,1.25492e-05,0,2.09153e-05,0,0.00686161,8.16692e-06,1.19516e-06,0,0.00259369,1.99193e-06,0.0019244,7.56934e-06,0.986766,0.0018015
3425,0,0,1.19527e-05,0,2.01308e-05,0,0.00687194,8.17814e-06,1.25817e-06,0,0.00259394,1.67757e-06,0.00193025,7.33935e-06,0.986752,0.0018015
3426,0,0,1.15641e-05,0,1.99381e-05,0,0.00687865,8.37401e-06,1.19629e-06,0,0.00258837,1.39567e-06,0.00191944,7.77586e-06,0.986768,0.00179543
3427,0,0,1.1544e-05,0,1.93099e-05,0,0.00686466,8.60549e-06,1.25934e-06,0,0.00259424,1.25934e-06,0.00191672,7.76593e-06,0.986781,0.00179393
3428,0,0,1.11557e-05,0,1.93232e-05,0,0.00686671,7.76912e-06,1.19525e-06,0,0.00260186,1.39446e-06,0.00192256,8.76516e-06,0.986763,0.00179646
3429,0,0,1.1534e-05,0,1.9503e-05,0,0.00687994,7.33983e-06,1.25826e-06,0,0.0025983,1.25826e-06,0.00191905,9.0175e-06,0.986757,0.00179616
