generation,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv
140,0,0,1.26E-05,0,3.77E-05,0,0.00664863,8.19E-06,4.79E-06,0,0.00248257,4.19E-06,0.00199944,9.59E-06,0.986986,0.00180631
141,0,0,1.26E-05,0,3.74E-05,0,0.00664703,8.20E-06,5.05E-06,0,0.00248612,4.20E-06,0.00199814,9.25E-06,0.986984,0.00180767
142,0,0,1.21E-05,0,3.74E-05,0,0.00662624,7.96E-06,5.37E-06,0,0.0024787,3.78E-06,0.00200535,7.96E-06,0.987011,0.00180428
143,0,0,1.19E-05,0,3.75E-05,0,0.00663438,7.96E-06,5.44E-06,0,0.00248705,3.56E-06,0.00200907,7.75E-06,0.986989,0.00180683
144,0,0,1.16E-05,0,3.71E-05,0,0.00662918,7.79E-06,4.59E-06,0,0.00248325,3.39E-06,0.00200229,7.99E-06,0.987,0.00181282
145,0,0,1.16E-05,0,3.57E-05,0,0.00663679,6.73E-06,3.78E-06,0,0.00249021,3.36E-06,0.00200823,8.41E-06,0.986979,0.00181611
146,0,0,1.09E-05,0,3.54E-05,0,0.00663197,6.96E-06,3.98E-06,0,0.00248649,3.38E-06,0.00199408,8.15E-06,0.986997,0.00182206
147,0,0,1.15E-05,0,3.45E-05,0,0.00663658,6.91E-06,3.77E-06,0,0.00248741,3.14E-06,0.00198666,8.37E-06,0.986995,0.00182609
148,0,0,1.06E-05,0,3.30E-05,0,0.00663146,6.99E-06,3.80E-06,0,0.00249251,3.00E-06,0.00197827,8.99E-06,0.986992,0.00183942
149,0,0,9.67E-06,0,3.18E-05,0,0.00663705,7.36E-06,4.00E-06,0,0.00249115,2.94E-06,0.00197778,9.04E-06,0.986991,0.00183834
150,0,0,8.15E-06,0,3.16E-05,0,0.0066345,7.75E-06,3.78E-06,0,0.00247733,2.98E-06,0.00199757,9.15E-06,0.986995,0.00183215
151,0,0,8.37E-06,0,3.16E-05,0,0.00662605,7.95E-06,3.77E-06,0,0.00247841,3.14E-06,0.00200056,9.42E-06,0.987004,0.00182642
152,0,0,8.39E-06,0,3.16E-05,0,0.00663132,8.39E-06,4.40E-06,0,0.00246944,2.60E-06,0.00201271,8.99E-06,0.986996,0.00182571
153,0,0,8.62E-06,0,3.15E-05,0,0.00662511,7.99E-06,4.42E-06,0,0.00246788,2.52E-06,0.00201552,9.25E-06,0.987007,0.00182015
154,0,0,9.34E-06,0,3.04E-05,0,0.00662103,8.15E-06,4.77E-06,0,0.00246069,2.39E-06,0.0020076,9.54E-06,0.98703,0.00181595
155,0,0,9.63E-06,0,3.08E-05,0,0.00661469,7.95E-06,4.81E-06,0,0.00245592,2.09E-06,0.00200613,9.63E-06,0.987045,0.00181316
156,0,0,8.39E-06,0,3.02E-05,0,0.00659108,7.39E-06,4.80E-06,0,0.00244958,2.00E-06,0.00201181,9.59E-06,0.987065,0.00182
157,0,0,8.84E-06,0,2.99E-05,0,0.00658719,7.78E-06,4.84E-06,0,0.00246186,1.89E-06,0.00201396,9.68E-06,0.987054,0.00182041
158,0,0,8.75E-06,0,2.78E-05,0,0.0065889,7.95E-06,4.37E-06,0,0.00245938,2.19E-06,0.00202113,8.94E-06,0.987042,0.00182894
159,0,0,8.99E-06,0,2.78E-05,0,0.00659714,7.74E-06,4.60E-06,0,0.00246428,2.30E-06,0.00202439,8.99E-06,0.987027,0.00182672
