generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
98,7.94395e-07,0,1.74767e-05,0,3.45562e-05,0,0.00674223,2.14487e-05,3.77338e-06,0,0.00251168,1.39019e-06,0.00210475,9.53274e-06,0.986805,0.00174747
99,8.36421e-07,0,1.77739e-05,0,3.34568e-05,0,0.00674071,2.11196e-05,3.55479e-06,0,0.00251512,1.46374e-06,0.00210799,9.40973e-06,0.986805,0.00174373
100,5.9996e-07,0,1.69989e-05,0,3.21978e-05,0,0.00670935,2.11986e-05,3.19978e-06,0,0.00250203,1.39991e-06,0.00210386,8.99939e-06,0.986864,0.00173568
101,6.31512e-07,0,1.72613e-05,0,3.19966e-05,0,0.00670434,2.14714e-05,3.15756e-06,0,0.00251237,1.47353e-06,0.00210441,9.26218e-06,0.986856,0.00173792
102,5.95878e-07,0,1.66846e-05,0,3.13829e-05,0,0.00668555,2.16502e-05,2.97939e-06,0,0.00253328,1.78763e-06,0.00210146,9.9313e-06,0.986843,0.00175208
103,4.18249e-07,0,1.71482e-05,0,3.15778e-05,0,0.00668822,2.15398e-05,2.92774e-06,0,0.00253062,1.673e-06,0.00210379,9.4106e-06,0.986848,0.00174494
104,3.99867e-07,0,1.65945e-05,0,3.13895e-05,0,0.00669237,2.07931e-05,2.79907e-06,0,0.00253436,1.99933e-06,0.0021127,1.05965e-05,0.986837,0.00173902
105,4.20908e-07,0,1.66259e-05,0,3.05159e-05,0,0.00669034,2.12559e-05,2.94636e-06,0,0.00253176,1.89409e-06,0.00211149,1.09436e-05,0.986841,0.00174109
106,3.9742e-07,0,1.64929e-05,0,3.09987e-05,0,0.0066842,2.18581e-05,2.78194e-06,0,0.0025256,1.78839e-06,0.00209043,1.0929e-05,0.98688,0.00173454
107,4.18424e-07,0,1.73646e-05,0,3.13818e-05,0,0.00666863,2.1758e-05,2.51054e-06,0,0.00252393,1.6737e-06,0.00209484,1.0879e-05,0.986891,0.0017352
108,3.99735e-07,0,1.73885e-05,0,3.17789e-05,0,0.00666198,2.21853e-05,2.19854e-06,0,0.00251773,1.59894e-06,0.00209301,1.03931e-05,0.986906,0.00173565
